symbol,avg_daily_return,volatility,log_volume,log_price,cluster
REG,0.000473,0.011497,5.863671,1.812624,0
REGN,0.000555,0.022162,5.944211,2.615132,0
RF,0.000699,0.016955,7.223902,1.046698,1
RHI,0.000424,0.016086,6.031759,1.682138,0
RHT,0.000893,0.016177,6.199404,1.881428,0
RJF,0.000661,0.015107,5.885403,1.78442,0
RL,-0.000328,0.019459,6.06714,2.074232,2
RMD,0.000716,0.014986,5.971368,1.786653,0
ROK,0.000618,0.014029,5.967607,2.106541,0
ROP,0.000688,0.011204,5.666791,2.254452,0
ROST,0.000871,0.014505,6.476011,1.721946,1
RRC,-0.001135,0.029073,6.621992,1.658629,2
RSG,0.000751,0.008523,6.164051,1.678445,0
RTN,0.000806,0.011092,6.232587,2.104338,0
SBAC,0.000707,0.013931,6.042948,2.057652,0
SBUX,0.000472,0.012336,6.963916,1.709394,1
SCG,-5.4e-05,0.013454,6.009791,1.774482,0
SCHW,0.000847,0.018049,6.903898,1.514609,1
SEE,0.000491,0.015048,6.299368,1.637541,1
SHW,0.000889,0.012903,5.850943,2.441061,0
SIG,-3.6e-05,0.02381,6.13117,1.997832,2
SJM,0.000268,0.012007,5.94653,2.070279,0
SLB,-0.000167,0.014651,6.872937,1.914841,1
SLG,0.000172,0.012587,5.873077,2.033995,0
SNA,0.000551,0.012655,5.652077,2.172002,0
SNI,0.000113,0.015198,6.089796,1.850222,0
SNPS,0.000808,0.01143,5.922328,1.733256,0
SO,0.00021,0.009407,6.702251,1.675229,1
SPG,0.000189,0.011695,6.168069,2.256992,0
SPGI,0.000858,0.012948,6.099932,2.035596,0
SRCL,-0.000388,0.015882,5.882413,2.027886,0
SRE,0.000248,0.010867,6.076263,2.021637,0
STI,0.000674,0.014597,6.557328,1.654535,1
STT,0.0004,0.015018,6.375463,1.870083,0
STX,6e-05,0.025786,6.653806,1.650705,2
STZ,0.001273,0.013111,6.131142,2.139486,0
SWK,0.000811,0.011482,6.043551,2.044408,0
SWKS,0.001488,0.022496,6.505931,1.887021,0
SYF,0.000748,0.016965,6.774856,1.484919,1
SYK,0.000785,0.010896,6.134977,2.03059,0
SYMC,0.000321,0.01667,6.828869,1.382519,1
SYY,0.000579,0.01074,6.566162,1.650061,1
T,0.000155,0.00991,7.406142,1.563058,1
TAP,0.000494,0.014232,6.233394,1.920047,0
TDG,0.00066,0.0154,5.730011,2.358583,0
TEL,0.000634,0.012674,6.251644,1.825615,0
TGT,0.000145,0.014982,6.766326,1.831872,1
TIF,0.000248,0.016231,6.191397,1.931793,0
TJX,0.000264,0.012595,6.567026,1.842249,1
TMK,0.00061,0.009934,5.777215,1.795515,0
TMO,0.000626,0.012665,6.244328,2.153818,0
TPR,-7.7e-05,0.017587,6.617718,1.589509,2
TRIP,-0.000485,0.026774,6.376638,1.834293,2
TROW,0.000314,0.012319,6.186766,1.889981,0
TRV,0.000461,0.009596,6.262273,2.037961,0
TSCO,0.000111,0.016568,6.168529,1.877336,0
TSN,0.001035,0.017059,6.57217,1.729225,1
TSS,0.000977,0.014135,6.101827,1.667148,0
TWX,0.000388,0.014452,6.721738,1.912838,1
TXN,0.000972,0.013573,6.753844,1.793587,1
TXT,0.000562,0.015484,6.252607,1.629302,1
UA,-0.002318,0.028249,6.512486,1.385629,2
UAA,-5.9e-05,0.026193,6.759271,1.511566,2
UAL,0.000853,0.023485,6.735272,1.758762,2
UDR,0.000564,0.011244,6.213607,1.528094,1
UHS,0.000486,0.017073,5.921583,2.05675,0
ULTA,0.001017,0.018946,5.991075,2.265113,0
UNH,0.001156,0.012495,6.573877,2.115037,0
UNM,0.000565,0.01402,6.186197,1.578807,0
UNP,0.000564,0.013651,6.63822,1.999998,0
UPS,0.000191,0.009874,6.465869,2.020284,0
URI,0.001107,0.024488,6.280774,1.97869,0
USB,0.000355,0.011132,6.832364,1.655762,1
UTX,0.000179,0.01036,6.595032,2.039024,0
V,0.000798,0.012473,6.975234,1.877575,1
VAR,0.00044,0.012546,5.886011,1.946428,0
VFC,0.000268,0.013938,6.382472,1.804274,0
VIAB,-0.000798,0.021297,6.601671,1.728107,2
VLO,0.000773,0.018158,6.784769,1.782562,1
VMC,0.000921,0.016976,6.053243,1.984989,0
VNO,-3.6e-05,0.013031,5.949122,1.989641,0
VRSK,0.000451,0.011435,5.950992,1.872246,0
VRSN,0.000732,0.013465,6.020993,1.878034,0
VRTX,0.00108,0.028209,6.255756,2.029597,2
VTR,0.000145,0.01338,6.34498,1.811089,0
VZ,0.000128,0.010157,7.225704,1.688915,1
WAT,0.000749,0.013144,5.708045,2.135518,0
WBA,0.000368,0.015457,6.728037,1.892177,1
WDC,0.000213,0.022385,6.550495,1.895497,2
WEC,0.000545,0.010787,6.265572,1.735721,0
WFC,0.00037,0.012148,7.259632,1.718206,1
WHR,0.000224,0.017076,5.982873,2.227792,0
WLTW,0.000431,0.011866,5.899269,2.123165,0
WM,0.000702,0.008626,6.303458,1.767136,0
WMB,0.000301,0.032347,6.922281,1.567341,2
WMT,0.000288,0.011426,6.92713,1.872609,1
WRK,0.000194,0.019853,6.225548,1.703423,2
WU,0.000208,0.014076,6.694689,1.275979,1
WY,0.0002,0.0127,6.618341,1.502299,1
WYN,0.00055,0.013985,6.058616,1.911879,0
WYNN,0.0002,0.026969,6.416988,2.11397,2
XEC,0.000442,0.022348,6.069002,2.061961,0
XEL,0.000606,0.010056,6.474878,1.5836,1
XL,0.000188,0.011869,6.346916,1.559805,1
XLNX,0.0005,0.015382,6.484319,1.70754,1
XOM,-0.000111,0.011303,7.089862,1.939764,1
XRAY,0.000385,0.011815,6.101505,1.74745,0
XRX,-0.000329,0.017548,6.367813,1.613985,2
XYL,0.000771,0.012975,6.064164,1.638641,0
YUM,0.000244,0.017225,6.508532,1.883106,1
ZBH,0.000361,0.013664,6.130257,2.043704,0
ZION,0.000675,0.016689,6.440607,1.51421,1
ZTS,0.000897,0.014226,6.542208,1.67457,1
